generation,best_fitness,avg_fitness,best_value,best_individual
461,0.23,0.23,697,101101111100000000000100100010
462,0.23,0.23,697,101101111100000000000100100010
463,0.23,0.22,697,101101111100000000000100100010
464,0.23,0.23,697,101101111100000000000100100010
465,0.23,0.23,697,101101111100000000000100100010
466,0.23,0.22,697,101101111100000000000100100010
467,0.23,0.23,697,101101111100000000000100100010
468,0.23,0.22,697,101101111100000000000100100010
469,0.23,0.22,697,101101111100000000000100100010
470,0.23,0.22,697,101101111100000000000100100010
471,0.23,0.23,697,101101111100000000000100100010
472,0.23,0.23,697,101101111100000000000100100010
473,0.23,0.22,697,101101111100000000000100100010
474,0.23,0.23,697,101101111100000000000100100010
475,0.23,0.23,697,101101111100000000000100100010
476,0.23,0.23,697,101101111100000000000100100010
477,0.23,0.23,697,101101111100000000000100100010
478,0.23,0.23,697,101101111100000000000100100010
479,0.23,0.23,697,101101111100000000000100100010
480,0.23,0.23,697,101101111100000000000100100010
481,0.23,0.23,697,101101111100000000000100100010
482,0.23,0.23,697,101101111100000000000100100010
483,0.23,0.23,697,101101111100000000000100100010
484,0.23,0.23,697,101101111100000000000100100010
485,0.23,0.23,697,101101111100000000000100100010
486,0.23,0.23,697,101101111100000000000100100010
487,0.23,0.23,697,101101111100000000000100100010
488,0.23,0.23,697,101101111100000000000100100010
489,0.23,0.23,697,101101111100000000000100100010
490,0.23,0.23,697,101101111100000000000100100010
491,0.23,0.23,697,101101111100000000000100100010
492,0.23,0.23,697,101101111100000000000100100010
493,0.23,0.23,697,101101111100000000000100100010
494,0.23,0.23,697,101101111100000000000100100010
495,0.23,0.23,697,101101111100000000000100100010
496,0.23,0.23,697,101101111100000000000100100010
497,0.23,0.23,697,101101111100000000000100100010
498,0.23,0.23,697,101101111100000000000100100010
499,0.23,0.23,697,101101111100000000000100100010
